time;temperature
1668259560;10.4
1668259680;10.3
1668259800;10.3
1668259920;10.3
1668260040;10.2
1668260160;10.2
1668260280;10.1
1668260400;10.2
1668260520;10.1
1668260640;10.1
1668260760;10.1
1668260880;10.1
1668261000;10.1
1668261120;10.1
