time;temperature
1668259581;10.4
1668259701;10.3
1668259821;10.3
1668259941;10.3
1668260061;10.2
1668260181;10.2
1668260301;10.1
1668260421;10.2
1668260541;10.1
1668260661;10.1
1668260781;10.1
1668260901;10.1
1668261021;10.1
1668261141;10.1
