Data gp_T_zewnN (282C0240F988) 2022-11-12 14:26:00 - 2022-11-12 14:52:00
Data;Temperatura
2022-11-12 14:26:00;10.4
2022-11-12 14:28:00;10.3
2022-11-12 14:30:00;10.3
2022-11-12 14:32:00;10.3
2022-11-12 14:34:00;10.2
2022-11-12 14:36:00;10.2
2022-11-12 14:38:00;10.1
2022-11-12 14:40:00;10.2
2022-11-12 14:42:00;10.1
2022-11-12 14:44:00;10.1
2022-11-12 14:46:00;10.1
2022-11-12 14:48:00;10.1
2022-11-12 14:50:00;10.1
2022-11-12 14:52:00;10.1
